benchmark,algorithm,trace,t_total,t_exec,t_checkpoint,t_recharge,t_rest
dijkstra,schematicO3,4,2.61895799,0.025736259999999997,0.004129770000000001,2.58916092,-6.895999999968414e-05
dijkstra,schematicO3,5,1.86932625,0.025736259999999997,0.004129770000000001,1.83953027,-7.004999999994307e-05
dijkstra,schematicO3,6,0.8797651999999999,0.025736259999999997,0.004129770000000001,0.84997048,-7.131000000005702e-05
dijkstra,schematicO3,7,2.05382069,0.025736259999999997,0.004129770000000001,2.02402259,-6.793000000017077e-05
dijkstra,schematicO3,8,0.89025966,0.025736259999999997,0.004129770000000001,0.86046213,-6.850000000003728e-05
dijkstra,schematicO3,9,0.93125136,0.025736259999999997,0.004129770000000001,0.90145942,-7.409000000003704e-05
dijkstra,schematicO3,10,0.11627962,0.025736259999999997,0.004129770000000001,0.08648908999999999,-7.549999999998877e-05
qsort,milp,1,0.13879435999999998,0.02848489,0.001594459999999999,0.1087308,-1.5790000000022453e-05
qsort,milp,2,0.56749581,0.02848489,0.001594459999999999,0.53743202,-1.5559999999963103e-05
qsort,milp,3,0.16231043,0.02848489,0.001594459999999999,0.13224333,-1.2249999999984496e-05
qsort,milp,4,3.40064554,0.02848489,0.001594459999999999,3.3705766400000003,-1.045000000015478e-05
qsort,milp,5,1.88331217,0.02848489,0.001594459999999999,1.8532483100000001,-1.5490000000166482e-05
qsort,milp,6,0.7223743499999999,0.02848489,0.001594459999999999,0.6923092900000001,-1.4290000000131975e-05
qsort,milp,7,2.0451064,0.02848489,0.001594459999999999,2.01504183,-1.4780000000040594e-05
qsort,milp,8,0.89082711,0.02848489,0.001594459999999999,0.86075727,-9.50999999998342e-06
qsort,milp,9,0.9438391700000001,0.02848489,0.001594459999999999,0.91377521,-1.538999999988605e-05
qsort,milp,10,0.12788579,0.02848489,0.001594459999999999,0.0978255,-1.905999999999436e-05
qsort,rockclimb,1,7.71612488,0.02848489,0.32714365,7.364364139999999,-0.0038677999999995327
qsort,rockclimb,2,9.48600068,0.02848489,0.32714365,9.134195349999999,-0.0038232099999987446
qsort,rockclimb,3,8.49593351,0.02848489,0.32714365,8.14388074,-0.003575769999999756
qsort,rockclimb,4,37.52802084,0.02848489,0.32714365,37.176109520000004,-0.0037172200000007427
qsort,rockclimb,5,27.979137079999997,0.02848489,0.32714365,27.62729825,-0.0037897100000016115
qsort,rockclimb,6,11.48804768,0.02848489,0.32714365,11.13619108,-0.0037719400000003622
qsort,rockclimb,7,22.4898063,0.02848489,0.32714365,22.13787566,-0.003697899999997367
qsort,rockclimb,8,30.09959583,0.02848489,0.32714365,29.74747341,-0.0035061200000029435
qsort,rockclimb,9,30.8708612,0.02848489,0.32714365,30.51881211,-0.0035794499999987073
qsort,rockclimb,10,27.605961079999997,0.02848489,0.32714365,27.2538908,-0.003558260000004032
qsort,schematic,1,0.21949623000000001,0.02848489,0.01695626,0.17448843,-0.00043334999999998514
qsort,schematic,2,0.73071533,0.02848489,0.01695626,0.68570315,-0.0004289700000000424
qsort,schematic,3,0.34119784000000003,0.02848489,0.01695626,0.29617083,-0.00041413999999996565
qsort,schematic,4,6.027990730000001,0.02848489,0.01695626,5.9829621799999995,-0.0004125999999986113
qsort,schematic,5,3.1775257900000002,0.02848489,0.01695626,3.13250624,-0.0004215999999998693
qsort,schematic,6,1.1318261299999999,0.02848489,0.01695626,1.08680861,-0.0004236300000001886
qsort,schematic,7,3.48607885,0.02848489,0.01695626,3.44106046,-0.00042275999999992486
qsort,schematic,8,2.4147245099999997,0.02848489,0.01695626,2.3696971600000003,-0.0004138000000006442
qsort,schematic,9,3.41111444,0.02848489,0.01695626,3.36610062,-0.00042733000000012844
